method,dataset,family,species,BINs
metabarcoding,,Hesperiidae,4,4
metabarcoding,,Lycaenidae,1,1
metabarcoding,,Nymphalidae,55,62
metabarcoding,,Papilionidae,27,30
metabarcoding,,Pieridae,8,10
metabarcoding,,Riodinidae,2,2
barcoding_VB,,Hesperiidae,17,18
barcoding_VB,,Lycaenidae,21,21
barcoding_VB,,Nymphalidae,113,115
barcoding_VB,,Papilionidae,34,34
barcoding_VB,,Pieridae,26,25
barcoding_VB,,Riodinidae,6,6
barcoding,VB,,217,219
barcoding,PB,,74,75
barcoding,SB,,17,15
barcoding,NB,,15,14
barcoding,PW,,58,59
