ID,order,success_db,success,year,specimen,species
1,Lepidoptera,1,1,2003,150,150
2,Lepidoptera,NA,0.97,2005,NA,1000
3,Lepidoptera,NA,0.98,2006,4260,521
4,Diptera,NA,0.65,2006,1333,449
5,Diptera,NA,1,2006,302,53
6,Diptera,NA,1,2006,759,20
7,Lepidoptera,NA,0.77,2007,273,58
8,Diptera,NA,0.98,2007,97,47
9,Odonata,NA,1,2007,34,4
10,Lepidoptera,NA,0.84,2007,694,133
11,Hymenoptera,NA,0.74,2008,2597,171
12,Hemiptera,NA,0.96,2008,690,335
13,Hymenoptera,NA,0.97,2009,414,144
14,Diptera,NA,1,2009,693,65
15,Diptera,NA,0.91,2009,47,22
16,Lepidoptera,NA,0.42,2009,200,12
17,Diptera,NA,1,2010,650,42
18,Lepidoptera,NA,0.97,2010,518,36
19,Hymenoptera,NA,0.85,2010,65,13
20,Coleoptera,NA,1,2010,116,9
21,Lepidoptera,NA,0.99,2010,11289,1327
22,Trichoptera,NA,0.93,2011,1638,212
23,Diptera,NA,0.83,2011,37,18
24,Diptera,NA,0.46,2011,76,13
25,Diptera,NA,0.98,2012,1114,160
26,Diptera,NA,0.98,2012,404,122
27A,Coleoptera,0.89,1,2012,31,18
27B,Hemiptera,0.87,1,2012,30,24
27C,Lepidoptera,0.93,1,2012,42,35
28,Diptera,NA,0.97,2012,580,39
29,Hymenoptera,NA,0.77,2012,62,22
30,Diptera,NA,0.2,2012,70,5
31,Lepidoptera,NA,0.8,2013,2130,219
32,Diptera,NA,0.68,2013,555,135
33,Lepidoptera,0.68,0.99,2013,374,81
34,Diptera,NA,0.98,2013,228,57
35,Hymenoptera,NA,0.75,2013,47,20
36,Coleoptera,NA,0.95,2014,5290,1872
37,Lepidoptera,NA,0.8,2014,30525,1541
38,Lepidoptera,NA,0.92,2014,4925,1004
39,Hemiptera,0.85,0.78,2014,1020,274
40,Lepidoptera,NA,0.98,2014,393,80
41,Diptera,0.64,1,2014,128,45
42,Diptera,NA,0.96,2014,351,41
43,Diptera,NA,1,2014,148,36
44,Hymenoptera,NA,0.83,2014,364,18
45,Hymenoptera,0.64,1,2014,116,15
46,Diptera,NA,1,2014,86,14
47,Diptera,NA,1,2013,79,13
48,Diptera,NA,0.95,2015,1548,93
49,Diptera,0.74,0.85,2015,260,23
50,Diptera,NA,1,2015,159,19
51,Lepidoptera,NA,0.96,2016,174,50
52,Coleoptera,NA,0.85,2016,819,78
53,Hemiptera,NA,0.98,2016,206,47
54,Diptera,0.82,1,2016,114,27
55,Diptera,NA,0.86,2016,1146,17
56,Diptera,0.89,0.88,2016,102,16
57,Diptera,NA,0.88,2016,147,14
58,Diptera,NA,1,2016,151,13
59,Megaloptera,NA,1,2016,16,6
60,Lepidoptera,NA,0.98,2017,358,160
61,Orthoptera,NA,0.72,2017,748,122
62,Diptera,NA,1,2017,220,56
63,Odonata,0.79,0.92,2017,130,38
64,Diptera,NA,0.86,2018,3670,162
65,Hemiptera,NA,0.98,2018,274,123
66,Orthoptera,NA,0.76,2018,383,48
67,Diptera,NA,0.86,2018,145,48
68,Coleoptera,NA,0.83,2018,690,47
69,Odonata,0.14,0.86,2018,134,36
70,Diptera,NA,0.89,2018,248,35
71,Diptera,NA,0.81,2018,225,21
72,Diptera,NA,1,2018,36,16
73,Diptera,0.86,1,2018,62,14
74,Hymenoptera,0.36,1,2018,142,14
75,Lepidoptera,1,1,2018,79,6
76,Lepidoptera,NA,0.97,2019,3431,671
77,Lepidoptera,0.9,0.8,2018,868,217
78,Neuroptera,0.98,0.98,2018,217,49
79,Diptera,0.5,0.71,2019,3264,42
80,Hymenoptera,NA,0.95,2019,301,37
81,Diptera,0.43,0.81,2019,44,7
82,Diptera,0,0.94,2019,43,18
83,Lepidoptera,NA,0.94,2020,5986,741
84,Lepidoptera,0.9,0.92,2020,699,116
85,Lepidoptera,NA,0.86,2020,440,73
86,Coleoptera,NA,0.82,2020,609,51
87,Coleoptera,NA,0.77,2020,258,23
88,Diptera,1,1,2020,43,14
89,Diptera,1,1,2020,25,8
90,Lepidoptera,NA,0.74,2021,14626,755
91,Lepidoptera,NA,0.86,2021,1839,512
92,Lepidoptera,NA,0.9,2021,22306,459
93,Lepidoptera,NA,0.84,2021,6791,242
94,Diptera,0.22,0.69,2021,1286,89
95A,Neuroptera,NA,0.78,2021,235,51
95B,Raphidioptera,NA,1,2021,8,3
96,Diptera,NA,1,2021,342,46
97,Plecoptera,0.84,0.87,2022,355,74
98,Diptera,0.56,0.95,2022,43,43
99,Diptera,0,0.88,2022,24,17
100A,Lepidoptera,0.52,0.87,2023,381,220
100B,Lepidoptera,0.42,0.77,2023,280,74
100C,Lepidoptera,0.65,0.82,2023,44,17
100D,Hymenoptera,0.33,0.53,2023,91,15
100E,Hymenoptera,0.2,0.6,2023,155,60
